id,country,macroarea,area,sex,agegroup,educ,hhsize_grp,foreign_born,cnt_weekday,cnt_count_30,cnt_count_gc_30,cnt_count_w_30,worn_face_mask,threat_community_q,threat_personal_q,d.weight
6637,DE,Süddeutschland,Baden-Württemberg,Male,18-24,Secondary,1p.,0,Donnerstag,11,1,8,0,H,H,1.9076789114164479
12838,DE,Süddeutschland,Baden-Württemberg,Male,25-29,Secondary,2pp.,0,Samstag,NA,NA,NA,NA,L,L,1.9076789114164479
11442,DE,Süddeutschland,Baden-Württemberg,Male,25-29,NoResponse,2pp.,0,Freitag,5,0,4,0,H,H,1.3024336745778624
10515,DE,Süddeutschland,Baden-Württemberg,Male,25-29,NoResponse,3pp.+,0,Freitag,4,1,0,0,H,H,1.9076789114164479
11759,DE,Süddeutschland,Baden-Württemberg,Male,25-29,GraduateOrMore,1p.,0,Freitag,2,1,0,0,H,H,1.9076789114164479
14000,DE,Süddeutschland,Baden-Württemberg,Male,25-29,Secondary,3pp.+,0,Samstag,4,0,0,1,H,H,1.9076789114164479
8255,DE,Süddeutschland,Baden-Württemberg,Male,30-34,GraduateOrMore,1p.,0,Donnerstag,6,0,5,0,H,L,1.3024336745778624
8808,DE,Süddeutschland,Baden-Württemberg,Male,30-34,GraduateOrMore,3pp.+,0,Donnerstag,4,0,0,0,H,L,1.3024336745778624
10719,DE,Süddeutschland,Baden-Württemberg,Male,30-34,Secondary,2pp.,0,Freitag,21,0,20,0,H,H,1.3024336745778624
12425,DE,Süddeutschland,Baden-Württemberg,Male,30-34,GraduateOrMore,3pp.+,0,Samstag,23,1,20,NA,NA,L,1.3024336745778624
12253,DE,Süddeutschland,Baden-Württemberg,Male,30-34,Secondary,1p.,0,Samstag,8,3,5,0,H,H,1.3024336745778624
13728,DE,Süddeutschland,Baden-Württemberg,Male,30-34,GraduateOrMore,3pp.+,0,Samstag,3,2,0,0,H,H,1.3024336745778624
15075,DE,Süddeutschland,Baden-Württemberg,Male,35-39,Secondary,3pp.+,0,Samstag,10,5,2,0,H,H,1.3024336745778624
12533,DE,Süddeutschland,Baden-Württemberg,Male,35-39,Secondary,1p.,0,Samstag,2,0,1,0,H,NA,1.3024336745778624
12902,DE,Süddeutschland,Baden-Württemberg,Male,35-39,Secondary,1p.,0,Samstag,22,2,20,0,L,L,1.3024336745778624
6561,DE,Süddeutschland,Baden-Württemberg,Male,35-39,GraduateOrMore,1p.,0,Donnerstag,10,0,10,0,H,L,1.3024336745778624
12872,DE,Süddeutschland,Baden-Württemberg,Male,40-44,Secondary,1p.,0,Samstag,4,2,0,0,H,H,1.3024336745778624
11933,DE,Süddeutschland,Baden-Württemberg,Male,40-44,Secondary,1p.,0,Freitag,4,0,4,0,H,L,1.3024336745778624
7338,DE,Süddeutschland,Baden-Württemberg,Male,40-44,Secondary,3pp.+,0,Donnerstag,3,0,0,0,H,H,1.3024336745778624
