country,area,sex,agegroup,count
DE,Rheinland-Pfalz,Male,55-59,174135
DE,Rheinland-Pfalz,Male,60-64,146646
DE,Rheinland-Pfalz,Male,65-69,124315
DE,Rheinland-Pfalz,Male,70-74,86892
DE,Rheinland-Pfalz,Male,75+,190060
DE,Rheinland-Pfalz,Total,0-17,664714
DE,Rheinland-Pfalz,Total,18-24,312488
DE,Rheinland-Pfalz,Total,25-29,248453
DE,Rheinland-Pfalz,Total,30-34,253461
DE,Rheinland-Pfalz,Total,35-39,246243
DE,Rheinland-Pfalz,Total,40-44,231141
DE,Rheinland-Pfalz,Total,45-49,255172
DE,Rheinland-Pfalz,Total,50-54,337081
DE,Rheinland-Pfalz,Total,55-59,348575
DE,Rheinland-Pfalz,Total,60-64,296266
DE,Rheinland-Pfalz,Total,65-69,256032
DE,Rheinland-Pfalz,Total,70-74,182274
DE,Rheinland-Pfalz,Total,75+,462003
DE,Saarland,Female,0-17,70439
DE,Saarland,Female,18-24,33415
DE,Saarland,Female,25-29,27878
DE,Saarland,Female,30-34,28679
DE,Saarland,Female,35-39,27971
DE,Saarland,Female,40-44,26668
DE,Saarland,Female,45-49,29379
DE,Saarland,Female,50-54,40566
DE,Saarland,Female,55-59,44130
DE,Saarland,Female,60-64,39669
DE,Saarland,Female,65-69,35079
DE,Saarland,Female,70-74,25000
DE,Saarland,Female,75+,73595
DE,Saarland,Male,0-17,75251
DE,Saarland,Male,18-24,37152
DE,Saarland,Male,25-29,30497
DE,Saarland,Male,30-34,31013
DE,Saarland,Male,35-39,29459
DE,Saarland,Male,40-44,26156
DE,Saarland,Male,45-49,28532
DE,Saarland,Male,50-54,39847
DE,Saarland,Male,55-59,43274
DE,Saarland,Male,60-64,38937
DE,Saarland,Male,65-69,32835
DE,Saarland,Male,70-74,22626
DE,Saarland,Male,75+,48840
DE,Saarland,Total,0-17,145690
DE,Saarland,Total,18-24,70567
DE,Saarland,Total,25-29,58375
DE,Saarland,Total,30-34,59692
DE,Saarland,Total,35-39,57430
