country,area,sex,agegroup,educ,hhsize_grp,pop_count,pop_count_se,pop_prop
DE,Baden-Württemberg,Male,40-44,2-Secondary,3pp.+,43872.58823679701,43872.58823679701,6.393984387367142e-4
DE,Baden-Württemberg,Male,40-44,3-GraduateOrMore,1p.,0,0,0
DE,Baden-Württemberg,Male,40-44,3-GraduateOrMore,2pp.,27573.694380503435,27573.69438050344,4.0185860569561774e-4
DE,Baden-Württemberg,Male,40-44,3-GraduateOrMore,3pp.+,55147.38876100687,38995.09255763876,8.037172113912355e-4
DE,Baden-Württemberg,Male,45-49,1-PrimaryOrLess,1p.,0,0,0
DE,Baden-Württemberg,Male,45-49,1-PrimaryOrLess,2pp.,0,0,0
DE,Baden-Württemberg,Male,45-49,1-PrimaryOrLess,3pp.+,0,0,0
DE,Baden-Württemberg,Male,45-49,2-Secondary,1p.,0,0,0
DE,Baden-Württemberg,Male,45-49,2-Secondary,2pp.,43872.58823679701,43872.58823679701,6.393984387367142e-4
DE,Baden-Württemberg,Male,45-49,2-Secondary,3pp.+,196620.89838308096,113891.88336940164,0.0028655500051785964
DE,Baden-Württemberg,Male,45-49,3-GraduateOrMore,1p.,0,0,0
DE,Baden-Württemberg,Male,45-49,3-GraduateOrMore,2pp.,0,0,0
DE,Baden-Württemberg,Male,45-49,3-GraduateOrMore,3pp.+,82721.0831415103,47759.039619408395,0.0012055758170868532
DE,Baden-Württemberg,Male,50-54,1-PrimaryOrLess,1p.,0,0,0
DE,Baden-Württemberg,Male,50-54,1-PrimaryOrLess,2pp.,97600.92138527706,97600.92138527706,0.0014224343550506464
DE,Baden-Württemberg,Male,50-54,1-PrimaryOrLess,3pp.+,0,0,0
DE,Baden-Württemberg,Male,50-54,2-Secondary,1p.,131617.76471039103,75989.55188568108,0.0019181953162101426
DE,Baden-Württemberg,Male,50-54,2-Secondary,2pp.,126593.67137830732,64851.598777237254,0.0018449742558235675
DE,Baden-Württemberg,Male,50-54,2-Secondary,3pp.+,170466.25961510433,92466.16971631041,0.0024843726945602816
DE,Baden-Württemberg,Male,50-54,3-GraduateOrMore,1p.,0,0,0
DE,Baden-Württemberg,Male,50-54,3-GraduateOrMore,2pp.,0,0,0
DE,Baden-Württemberg,Male,50-54,3-GraduateOrMore,3pp.+,137868.47190251717,61656.65502560964,0.0020092930284780885
DE,Baden-Württemberg,Male,55-59,1-PrimaryOrLess,1p.,0,0,0
DE,Baden-Württemberg,Male,55-59,1-PrimaryOrLess,2pp.,0,0,0
DE,Baden-Württemberg,Male,55-59,1-PrimaryOrLess,3pp.+,0,0,0
DE,Baden-Württemberg,Male,55-59,2-Secondary,1p.,38353.98271132423,38353.98271132423,5.589703651080061e-4
DE,Baden-Württemberg,Male,55-59,2-Secondary,2pp.,95208.21891184845,50482.6311497551,0.0013875631453190863
DE,Baden-Württemberg,Male,55-59,2-Secondary,3pp.+,171916.1843344969,95660.44138377628,0.0025055038755350985
DE,Baden-Württemberg,Male,55-59,3-GraduateOrMore,1p.,0,0,0
DE,Baden-Württemberg,Male,55-59,3-GraduateOrMore,2pp.,75805.64826736563,37902.82413368282,0.0011047903736147735
DE,Baden-Württemberg,Male,55-59,3-GraduateOrMore,3pp.+,56854.23620052422,32824.80857494323,8.2859278021108e-4
DE,Baden-Württemberg,Male,60-64,1-PrimaryOrLess,1p.,0,0,0
DE,Baden-Württemberg,Male,60-64,1-PrimaryOrLess,2pp.,0,0,0
DE,Baden-Württemberg,Male,60-64,1-PrimaryOrLess,3pp.+,0,0,0
DE,Baden-Württemberg,Male,60-64,2-Secondary,1p.,0,0,0
DE,Baden-Württemberg,Male,60-64,2-Secondary,2pp.,191318.75497897973,60500.975349952496,0.0027882766472394115
DE,Baden-Württemberg,Male,60-64,2-Secondary,3pp.+,76707.96542264846,54240.72252137794,0.0011179407302160122
DE,Baden-Württemberg,Male,60-64,3-GraduateOrMore,1p.,0,0,0
DE,Baden-Württemberg,Male,60-64,3-GraduateOrMore,2pp.,37902.824133682814,26801.34397104825,5.523951868073867e-4
DE,Baden-Württemberg,Male,60-64,3-GraduateOrMore,3pp.+,37902.824133682814,26801.34397104825,5.523951868073867e-4
DE,Baden-Württemberg,Male,65-69,1-PrimaryOrLess,1p.,0,0,0
DE,Baden-Württemberg,Male,65-69,1-PrimaryOrLess,2pp.,0,0,0
DE,Baden-Württemberg,Male,65-69,1-PrimaryOrLess,3pp.+,0,0,0
DE,Baden-Württemberg,Male,65-69,2-Secondary,1p.,0,0,0
DE,Baden-Württemberg,Male,65-69,2-Secondary,2pp.,114610.78955633126,46974.926894694865,0.0016703359170233988
DE,Baden-Württemberg,Male,65-69,2-Secondary,3pp.+,57305.39477816563,42780.64993835157,8.351679585116994e-4
DE,Baden-Württemberg,Male,65-69,3-GraduateOrMore,1p.,18951.412066841407,18951.41206684141,2.7619759340369337e-4
DE,Baden-Württemberg,Male,65-69,3-GraduateOrMore,2pp.,132659.88446788985,50140.723322370955,0.0019333831538258536
DE,Baden-Württemberg,Male,65-69,3-GraduateOrMore,3pp.+,0,0,0
DE,Baden-Württemberg,Male,70-74,1-PrimaryOrLess,1p.,0,0,0
DE,Baden-Württemberg,Male,70-74,1-PrimaryOrLess,2pp.,0,0,0
DE,Baden-Württemberg,Male,70-74,1-PrimaryOrLess,3pp.+,0,0,0
DE,Baden-Württemberg,Male,70-74,2-Secondary,1p.,18951.412066841407,18951.41206684141,2.7619759340369337e-4
DE,Baden-Württemberg,Male,70-74,2-Secondary,2pp.,114610.78955633126,46974.926894694865,0.0016703359170233988
DE,Baden-Württemberg,Male,70-74,2-Secondary,3pp.+,0,0,0
DE,Baden-Württemberg,Male,70-74,3-GraduateOrMore,1p.,18951.412066841407,18951.41206684141,2.7619759340369337e-4
DE,Baden-Württemberg,Male,70-74,3-GraduateOrMore,2pp.,75805.64826736563,37902.82413368282,0.0011047903736147735
DE,Baden-Württemberg,Male,70-74,3-GraduateOrMore,3pp.+,0,0,0
DE,Baden-Württemberg,Male,75+,1-PrimaryOrLess,1p.,0,0,0
DE,Baden-Württemberg,Male,75+,1-PrimaryOrLess,2pp.,0,0,0
DE,Baden-Württemberg,Male,75+,1-PrimaryOrLess,3pp.+,0,0,0
